URL,Unique Visitors,Section,Product
/cpa/resources/webinar-tackle-the-2017-cpa-exam/,4,Resources,CPA
/blog/cpa/bryan-kesler-the-cpa-guide/,4,Blog,CPA
/blog/cma/5-ways-to-improve-your-cma-exam-score/,4,Blog,CMA
/pmp/resources/certification-tips/,4,Resources,PMP
/blog/cfa/free-cfa-lesson-portfolio-return-measurement/,4,Blog,CFA
/cpa/resources/career-paths-for-cpas/public-accouting/,4,Resources,CPA
/cma/resources/updates/,4,Resources,CMA
/blog/cpa/free-cpa-lesson-types-principles-accounting-controls/,4,Blog,CPA
/blog/frm/2017-frm-part-i-courses-from-wiley-available/,4,Blog,FRM
/blog/cfa/2017-cfa-exam-review-courses-from-wiley-now-available/,4,Blog,CFA
/cpa/resources/webinar-new-cpa-exam-simulation-type/,4,Resources,CPA
/blog/cfa/top-questions-you-must-master-to-pass-the-level-i-cfa-exa,4,Blog,CFA
/frm/resources/#free,4,Resources,FRM
/cpa/resources/webinar-2018-exam-content/?hootpostid=43499aa47099e0,4,Resources,CPA
/blog/cpa/free-cpa-exam-lecture-far-cash-flow-hedges/,4,Blog,CPA
/blog/cfa/free-cfa-video-lectures/,4,Blog,CFA
/blog/cfa/page/2/,4,Blog,CFA
/blog/cma/success-story-enokido/,4,Blog,CMA
/blog/cpa/meet-the-professor-allen-bizzell/,4,Blog,CPA
/blog/cpa/super-foods-boost-cpa-exam-review/,4,Blog,CPA
/blog/cma/why-cpas-need-cma/,4,Blog,CMA
/blog/cfa/6-levels-cfa-exam-hell/,3,Blog,CFA
/blog/cpa/free-podcast-what-you-need-to-know-for-reg/,3,Blog,CPA
/cmt/resources/,3,Resources,CMT
/blog/cma/the-future-of-accounting-belongs-to-cmas/,3,Blog,CMA
/cfa/resources/finance-exam-tips-for-accounting-students/,3,Resources,CFA
/blog/cfa/set-your-calculator-up-for-cfa-exam-success/,3,Blog,CFA
/blog/cia/continuing-professional-education-for-cias/,3,Blog,CIA
/blog/cma/10-time-management-tips-for-cma-candidates/,3,Blog,CMA
/frm/resources/#thinking,3,Resources,FRM
/blog/cpa/a-blueprint-for-international-student-success-on-the-cpa-,3,Blog,CPA
/frm/resources/#exam,3,Resources,FRM
/caia/resources/,3,Resources,CAIA
/blog/cma/cmaexcel-covers-all-ima-learning-outcome-statements/,3,Blog,CMA
/blog/cpa/didnt-pass-the-cpa-exam/,3,Blog,CPA
/pmp/resources/,3,Resources,PMP
/frm/resources/frm-exam-day/?utm_source=els&utm_medium=elqemail&utm,3,Resources,FRM
/cma/resources/?utm_source=google&utm_medium=searchretargeting&utm_,3,Resources,CMA
/blog/cpa/irs-tax-forms-quiz/,3,Blog,CPA
/blog/cma/free-cma-lecture-corporate-restructuring-issues/,3,Blog,CMA
/blog/cfa/level-i-course-upgrades/,3,Blog,CFA
/blog/cma/page/5/,3,Blog,CMA
/blog/cma/page/4/,3,Blog,CMA
/blog/cma/page/7/,3,Blog,CMA
/blog/cpa/free-cpa-lesson-capital-gains-losses/,3,Blog,CPA
/blog/cpa/cpaexcel-vs-becker/,3,Blog,CPA
/cpa/resources/install-latest-course/,3,Resources,CPA
